# planning/fidelity/insights.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. present, divergent, absent and unclassified are computed by
# scripts/acceptance/mock_fidelity.py from the two artifacts on every run, which is what makes
# `present` earned by measuring rather than asserted. An affordance with no line becomes `absent`,
# which is a finding — deleting a line hides nothing.
#
# A citation is external and PRE-EXISTING. EVERY ONE OPENS WITH `Dn · `, naming the divergence in
# insights.layers.json this row's finding falls under.
#
#   node = -            the affordance has no counterpart in the build
#   affordance = +path  a build node with no counterpart in the mock, cited
#
# THE FACT THAT DECIDES MOST OF THIS FILE: three of the mock's four frames are about the session
# analyst, and this product has no analyst in any form (PRD.md §6 specifies one, nothing in
# app/Sources implements it). So the mock's v-loading is the analyst running, its v-error is the
# analyst falling back, and a third of its v-ideal is the analyst's configuration — none of which
# the build can answer without inventing the subsystem. See D1 and D5.

ideal	v-ideal/heading/insights	insights.ideal/board-column/board-head/board-title
ideal	v-ideal/sentence/what-your-agents-actually-used-and-what-the-anal	insights.ideal/board-column/board-head/board-subtitle
ideal	v-ideal/button/last-7-days	-	D2 · planning/plans/plan-M22.md §2.3 — the usage log rotates at 8 MiB keeping one generation, so a control offering seven days on a machine holding two would lie about its own range; the route is fixed at 24 hours and reports logHorizon instead
ideal	v-ideal/icon/unlabelled	-	D2 · planning/plans/plan-M22.md §2.3 — the usage log rotates at 8 MiB keeping one generation, so a control offering seven days on a machine holding two would lie about its own range; the route is fixed at 24 hours and reports logHorizon instead; this is that pop-up's own chevron
ideal	v-ideal/button/analyse-now	insights.ideal/board-column/insights-populated/section-analyst-block/analyse-now	D4 · planning/fidelity/insights.layers.json §4 — a disabled control belongs beside the thing it is disabled about, and the reason is the analyst's absence, which the panel states two lines above the button
ideal	v-ideal/section-header/where-the-calls-came-from	insights.ideal/board-column/insights-populated/section-by-harness-block/section-by-harness
ideal	v-ideal/card/claude-code-6-027-cursor-1-978-grok-cli-848-code	insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars
ideal	v-ideal/callout/antigravity-is-at-zero-because-its-sessions-stil	insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/caption-unattributable
ideal	v-ideal/card/calls-per-hour-last-24-h-00-00-now	insights.ideal/board-column/insights-populated/section-per-hour-block
ideal	v-ideal/heading/calls-per-hour-last-24-h	insights.ideal/board-column/insights-populated/section-per-hour-block/section-per-hour
ideal	v-ideal/card/duty-cycle-per-server-obscura-37-dossier-18-goog	insights.ideal/board-column/insights-populated/section-duty-block
ideal	v-ideal/heading/duty-cycle-per-server	insights.ideal/board-column/insights-populated/section-duty-block/section-duty
ideal	v-ideal/callout/the-share-of-wall-clock-time-a-child-was-alive-b	insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/caption-duty
ideal	v-ideal/section-header/the-analyst	insights.ideal/board-column/insights-populated/section-analyst-block/section-analyst
ideal	v-ideal/card/primary-claude-cli-haiku-fallback-grok-cli-grok-	insights.ideal/board-column/insights-populated/section-analyst-block/analyst-empty
ideal	v-ideal/button/claude-cli-haiku	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state
ideal	v-ideal/icon/unlabelled#2	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state; a model pop-up's chevron
ideal	v-ideal/button/grok-cli-grok-4-6-medium	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state
ideal	v-ideal/icon/unlabelled#3	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state; a model pop-up's chevron
ideal	v-ideal/button/every-6-hours	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state
ideal	v-ideal/icon/unlabelled#4	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state; the cadence pop-up's chevron
ideal	v-ideal/callout/excerpts-are-read-locally-and-passed-to-a-cli-yo	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state; it describes how the analyst reaches a model, which is a mechanism with no code behind it
ideal	v-ideal/section-header/skill-and-server-use-by-version	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/card/capability-version-kind-runs-7-d-distribution-la	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/column-header/capability	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/column-header/version	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/column-header/kind	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/column-header/runs-7-d	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/column-header/distribution	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/column-header/last-used	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/row/obscura-0-2-0-mcp-server-612-1-min-ago	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/row/design-review-2-3-1-skill-142-4-h-ago	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/row/trawl-1-4-2-skill-64-yesterday	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/row/docker-mcp-1-2-0-mcp-server-18-14-min-ago	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	v-ideal/callout/the-version-recorded-is-the-one-that-was-live-wh	-	D3 · planning/fidelity/insights.layers.json §3 — UsageRecord carries ts, server, tool, ok, ms, cold and the caller, and no version of anything, so DESIGN.md §6 forbids the whole block
ideal	+insights.ideal/board-column/insights-populated/headline-grid	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-children	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-children/stat-label-children	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-children/stat-value-children	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-children/stat-provenance-children	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-resident	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-resident/stat-label-resident	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-resident/stat-value-resident	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-resident/stat-provenance-resident	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-calls	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-calls/stat-label-calls	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-calls/stat-value-calls	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-failures	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-failures/stat-label-failures	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-failures/stat-value-failures	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/headline-grid/stat-failures/stat-provenance-failures	-	D6 · the mock's four headline figures sit in a .grid4 of .stat divs that its census does not derive as affordances; each build card carries its label, its value and the provenance line that makes it a reading rather than a claim
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-claudeCode	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-claudeCode/bar-label-claudeCode	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-claudeCode/bar-track-claudeCode	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
