# planning/fidelity/servers.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. It never declares a status: present, divergent, absent and
# unclassified are computed by scripts/acceptance/mock_fidelity.py from the two artifacts on every
# run, which is what makes `present` earned by measuring rather than asserted. Deleting a line here
# does not delete a row from the ledger — the mock side of the inventory is derived from the mock
# on every run, so an affordance with no line becomes `absent`, which is a finding.
#
#   node = -            the affordance has no counterpart in the build
#   affordance = +path  a build node with no counterpart in the mock, cited
#
# A citation is external and pre-existing: a file and the claim it already makes. A justification
# composed while filling this in is motivated classification wearing a citation's clothes, and the
# row is a defect either way — a citation records WHO OWNS the difference, and never suppresses it.
#
# What this file is not: a conversion. The Servers board in the build was written against DESIGN.md
# (Instrument Panel, breaker column) and the mock draws Patchbay (signal path, jack lane, inspector).
# M16 owns that supersession and M17 owns the four states' copy. This ledger is the measurement that
# says how far apart they are today, filled before either of those items starts.

# ---------------------------------------------------------------- ideal
ideal	v-ideal/heading/servers	servers.ideal/board-column/board-header/title-block/title
ideal	v-ideal/sentence/every-mcp-server-your-agents-can-reach-a-jack-li	servers.ideal/board-column/board-header/title-block/subtitle	planning/features-to-triage/M16-signal-path.md — "A jack carries a plug, the server name, and its condition in words"; the mock's board subtitle introduces the jack lane the build has no counterpart for
ideal	v-ideal/button/add-server	servers.ideal/board-column/board-header/primary-action
ideal	v-ideal/button/reap-idle	-	planning/features-to-triage/M7-evals-cleanup.md owns the reap/cleanup verbs
ideal	v-ideal/card/signal-path-5-harnesses-1-endpoint-11-upstreams-	servers.ideal/board-column/signal-path	planning/features-to-triage/M16-signal-path.md — "Three parts on one rail: Harnesses / The hub / The jacks". Two of the three are built; the harness column needs a reading the app cannot reach and lands with M22's GET /harnesses route, so the labels differ by that leg
ideal	v-ideal/icon/unlabelled	-	planning/features-to-triage/M16-signal-path.md
ideal	v-ideal/icon/unlabelled#2	-	planning/features-to-triage/M16-signal-path.md
ideal	v-ideal/indicator/unlabelled	-	planning/features-to-triage/M16-signal-path.md — a harness state dot. The reading behind it is HarnessState in RouterCore, which neither app links, and no control route serves it; M22 absorbs R7-C1 and the column lands with that route
ideal	v-ideal/indicator/unlabelled#2	-	planning/features-to-triage/M16-signal-path.md — a harness state dot. The reading behind it is HarnessState in RouterCore, which neither app links, and no control route serves it; M22 absorbs R7-C1 and the column lands with that route
ideal	v-ideal/indicator/unlabelled#3	-	planning/features-to-triage/M16-signal-path.md — a harness state dot. The reading behind it is HarnessState in RouterCore, which neither app links, and no control route serves it; M22 absorbs R7-C1 and the column lands with that route
ideal	v-ideal/indicator/unlabelled#4	-	planning/features-to-triage/M16-signal-path.md — a harness state dot. The reading behind it is HarnessState in RouterCore, which neither app links, and no control route serves it; M22 absorbs R7-C1 and the column lands with that route
ideal	v-ideal/indicator/unlabelled#5	-	planning/features-to-triage/M16-signal-path.md — a harness state dot. The reading behind it is HarnessState in RouterCore, which neither app links, and no control route serves it; M22 absorbs R7-C1 and the column lands with that route
ideal	v-ideal/indicator/unlabelled#6	-	planning/features-to-triage/M16-signal-path.md — a harness state dot. The reading behind it is HarnessState in RouterCore, which neither app links, and no control route serves it; M22 absorbs R7-C1 and the column lands with that route
