# planning/fidelity/settings.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. It never declares a status: present, divergent, absent and
# unclassified are computed by scripts/acceptance/mock_fidelity.py from the two artifacts on every
# run, which is what makes `present` earned by measuring rather than asserted. Deleting a line here
# does not delete a row from the ledger — the mock side of the inventory is derived from the mock on
# every run, so an affordance with no line becomes `absent`, which is a finding.
#
#   node = -            the affordance has no counterpart in the build
#
# A citation is external and PRE-EXISTING: a file and the claim it already makes, or a search and
# the date it was run. A justification composed while filling this in is motivated classification
# wearing a citation's clothes, so no row here cites plan-M15 or spec-M15's own reasoning — an
# absence is admissible only when the search that established it is named.
#
# TWO structural facts decide most of this file, and both are declared in settings.layers.json.
#
# 1. The mock models Settings as a TAB SET: all seven panes sit in the DOM at once and `.active`
#    decides which is visible, so `v-ideal` inventories all seven panes' contents. The build is a
#    NavigationSplitView whose detail renders the selected pane and nothing else. Six of the seven
#    panes are therefore `absent` from any one run, and that is a difference in how the surface is
#    modelled rather than a missing control.
#
# 2. Thirteen of the mock's thirty rows name capabilities this product does not have. spec-M15 §2's
#    fifth assumption forbids building a control for one, so each is absent with the artifact that
#    already recorded the absence beside it.


# ---------------------------------------------------------------- ideal
ideal	v-ideal/heading/router	settings.ideal/settings-window/detail/pane-hero/pane-title
ideal	v-ideal/sentence/the-endpoint-your-harnesses-point-at-and-how-lon	settings.ideal/settings-window/detail/pane-hero/pane-subtitle
ideal	v-ideal/button/copy	settings.ideal/settings-window/detail/group-router/copy-endpoint
ideal	v-ideal/button/5-minutes	-	app/Sources/MCPRouterKit/Shell/SettingsPresentation.swift:12-19 — "There is no control-API endpoint that writes any of these"; ControlToken.swift:13-19 admits /servers, /usage and /registry only
ideal	v-ideal/icon/unlabelled	-	app/Sources/MCPRouterKit/Shell/SettingsPresentation.swift:12-19 — "There is no control-API endpoint that writes any of these"; ControlToken.swift:13-19 admits /servers, /usage and /registry only
ideal	v-ideal/button/choose	-	planning/features-to-triage/M18-sheets-and-gates.md owns every sheet a pane would open
ideal	v-ideal/button/start-at-login	-	absence, established 2026-08-22: grep -ri 'SMAppService|LSSharedFileList|launchd' over app/Sources and app/MCPRouter returned nothing
ideal	v-ideal/button/inspect	-	app/Sources/MCPRouterKit/Control/Models.swift:114-121 — ServersResponse carries port, idleMs, since, pendingAuth and servers[] and nothing else
ideal	v-ideal/heading/harnesses	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/what-this-app-may-do-to-other-tools-configuratio	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/adopt-new-servers-automatically	-	app/Sources/MCPRouterKit/Control/ControlToken.swift:13-19 — the control API owns /servers, /usage and /registry; grep for a harnesses route over app/Sources on 2026-08-22 returned nothing
ideal	v-ideal/button/warn-about-duplicates	-	app/Sources/MCPRouterKit/Control/ControlToken.swift:13-19 — the control API owns /servers, /usage and /registry; grep for a harnesses route over app/Sources on 2026-08-22 returned nothing
ideal	v-ideal/button/reconcile-without-asking	-	app/Sources/MCPRouterKit/Control/ControlToken.swift:13-19 — the control API owns /servers, /usage and /registry; grep for a harnesses route over app/Sources on 2026-08-22 returned nothing
ideal	v-ideal/button/every-hour	-	app/Sources/MCPRouterKit/Control/ControlToken.swift:13-19 — the control API owns /servers, /usage and /registry; grep for a harnesses route over app/Sources on 2026-08-22 returned nothing
ideal	v-ideal/icon/unlabelled#2	-	app/Sources/MCPRouterKit/Control/ControlToken.swift:13-19 — the control API owns /servers, /usage and /registry; grep for a harnesses route over app/Sources on 2026-08-22 returned nothing
ideal	v-ideal/heading/session-analyst	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/which-model-reads-your-sessions-how-often-it-run	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/analyse-my-sessions	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/claude-cli-haiku	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/icon/unlabelled#3	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/grok-cli-grok-4-6-medium	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/icon/unlabelled#4	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/choose#2	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/every-6-hours	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/icon/unlabelled#5	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/notify-me-about-findings	-	absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/heading/updates	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/how-often-this-app-and-the-capabilities-you-have	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/every-12-hours	-	absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/icon/unlabelled#6	-	absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/button/install-updates-automatically	-	absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/button/hold-a-version-that-wants-more	-	absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/button/check-now	-	absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/heading/security	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/what-a-new-version-has-to-prove-before-anything-	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/rotate	-	app/Sources/MCPRouterUI/Settings/SettingsWindowModel.swift — forget()'s docstring: "There is no rotate endpoint and this is not one"
ideal	v-ideal/button/hold-schema-changes	-	app/Sources/MCPRouterKit/Control/Models.swift — pendingChange and heldChanges ship as behaviour; no route makes the holding itself a setting
ideal	v-ideal/button/manage	-	design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/90-days	-	absence, established 2026-08-22: grep -ri 'retention|keepHistory|historyWindow' over app/Sources returned only remove(keepHistory:), which is per-server
ideal	v-ideal/icon/unlabelled#7	-	absence, established 2026-08-22: grep -ri 'retention|keepHistory|historyWindow' over app/Sources returned only remove(keepHistory:), which is per-server
